# Run   Event    |  MJD     |   RA    Dec   | 50%    90% | E_Muon   E_Nu   |  Sig. | Selection | Overlap
# --- 2011 (13 bronze events / 5 gold events) ---
126515  20091930 |  57198.7 |  306.8   18.9 |  0.2   0.5 |     113     154 |   46% |  Bronze   |
126620  19175993 |  57217.9 |  326.0   25.4 |  0.2   0.6 |     393     447 |   84% |  Gold     |  Diffuse
126703  23477554 |  57243.3 |  221.9  -17.6 |  0.2   0.5 |  11,428  11,808 |   19% |  Bronze   |
126717  29833358 |  57246.3 |  319.1   31.6 |  0.4   0.9 |      95     126 |   44% |  Bronze   |
126718  53509959 |  57246.8 |  328.7    6.0 |  0.2   0.5 |     459     509 |   83% |  Gold     |  EHE, Diffuse
126769  62990844 |  57257.6 |  325.6   -2.2 |  0.2   0.6 |     100     133 |   35% |  Bronze   |
126798  67205547 |  57265.2 |   54.8   34.7 |  0.2   0.5 |     147     180 |   58% |  Gold     |  EHE
126812  38566267 |  57269.8 |  133.9   27.8 |  0.2   0.5 |     260     304 |   74% |  Gold     |  Diffuse
126848   8902133 |  57279.9 |  130.3   30.6 |  0.4   1.0 |      91     120 |   43% |  Bronze   |
126860  17477746 |  57283.5 |   48.9   -3.0 |  0.2   0.5 |      73     105 |   28% |  Bronze   |
126863  14025085 |  57284.2 |  279.7   30.2 |  0.3   0.7 |     201     228 |   67% |  Gold     |
126878  30560694 |  57288.0 |  103.5    4.0 |  0.2   0.5 |     106     143 |   35% |  Bronze   |  EHE
126911   6416344 |  57291.9 |  194.5   -4.6 |  0.2   0.5 |     112     153 |   41% |  Bronze   |  EHE
126976   9961785 |  57308.1 |  179.2   52.5 |  0.2   0.5 |     116     156 |   52% |  Bronze   |
126989  59479399 |  57312.7 |  197.3   21.0 |  0.8   2.1 |     274     323 |   76% |  Gold     |  Diffuse
127112  69211097 |  57340.9 |   76.3   12.6 |  0.3   0.9 |     968   1,090 |   95% |  Gold     |  Diffuse
127154   9907321 |  57348.5 |  262.1   -2.3 |  0.2   0.5 |     213     242 |   62% |  Gold     |  EHE
# --- 2016 (16 bronze events / 8 gold events) ---
127357  17650073 |  58528.7 |   78.1    4.7 |  0.4   1.0 |     187     212 |   56% |  Gold     |
127603  48070937 |  57443.9 |  312.2   60.6 |  0.3   0.7 |     146     179 |   58% |  Gold     |
127650  18431575 |  57454.7 |   92.8   10.7 |  0.2   0.5 |      74     106 |   28% |  Bronze   |
127742  55820225 |  57478.6 |  151.3   15.9 |  0.2   0.5 |     449     498 |   85% |  Gold     |  Diffuse
127790  45902607 |  57488.7 |  235.4   -4.0 |  0.2   0.5 |      95     125 |   36% |  Bronze   |
127910  25056152 |  57518.7 |  353.0    2.2 |  0.2   0.6 |     138     173 |   44% |  Bronze   |  EHE
128034  69069846 |  57551.4 |   18.0    4.0 |  0.3   0.8 |      75     107 |   25% |  Bronze   |
128065  17929326 |  57553.5 |  214.9   38.5 |  0.4   1.1 |      82     112 |   41% |  Bronze   |
128067  65335330 |  57554.4 |  303.7   12.9 |  0.3   0.7 |     110     149 |   41% |  Bronze   |
128209  54386016 |  57576.2 |  351.5    0.9 |  0.2   0.5 |      80     110 |   28% |  Bronze   |
128253  44251618 |  57589.9 |   64.8   27.4 |  1.0   2.6 |      77     108 |   37% |  Bronze   |
128278  49218472 |  57596.3 |  112.7   14.8 |  0.3   0.7 |      73     105 |   30% |  Bronze   |
128292  15195696 |  57600.8 |  312.9   20.3 |  0.2   0.5 |      91     119 |   39% |  Bronze   |
128311  26552458 |  57606.5 |  122.6   -0.7 |  0.2   0.5 |     192     218 |   58% |  Gold     |  EHE
128334   9739548 |  57612.7 |   87.0   48.6 |  3.1   7.9 |     121     160 |   53% |  Bronze   |
128547  14557367 |  57655.7 |  240.5    1.8 |  1.0   2.6 |     150     182 |   48% |  Gold     |
128567  21044380 |  57662.4 |  191.7   36.8 |  0.4   1.0 |     180     205 |   64% |  Gold     |
128606  54200591 |  57673.6 |  189.4   -8.2 |  0.3   0.9 |     684     759 |   25% |  Gold     |
128632  62194858 |  57682.3 |  121.9   23.5 |  0.3   0.9 |     101     135 |   43% |  Bronze   |
128651  44166050 |  57688.6 |  118.7    2.2 |  0.2   0.6 |     116     156 |   38% |  Bronze   |
128755  32356079 |  57709.3 |   78.3    1.9 |  0.4   0.9 |     162     191 |   51% |  Gold     |
128785  76992952 |  57717.4 |  140.8   -0.3 |  0.2   0.5 |     123     161 |   40% |  Bronze   |
128796  26367207 |  57719.7 |  278.7   71.7 |  1.8   4.5 |     103     138 |   45% |  Bronze   |
128967  17750653 |  57746.5 |   62.5   17.9 |  0.3   0.8 |     103     139 |   42% |  Bronze   |
# --- 2017 (13 bronze events / 11 gold events) ---
129020  20626582 |  58528.7 |  311.6    7.9 |  0.5   1.2 |     154     185 |   49% |  Gold     |
129144  66284903 |  57790.5 |  179.5   34.3 |  0.4   1.1 |     101     134 |   46% |  Bronze   |
129153  11436007 |  57792.1 |  101.3   15.7 |  0.2   0.5 |     112     152 |   43% |  Bronze   |
129154  45298080 |  57792.6 |   92.6    4.5 |  0.2   0.5 |     100     134 |   33% |  Bronze   |
129267  34234803 |  57820.9 |  155.4    5.7 |  0.2   0.5 |      76     107 |   25% |  Bronze   |
129420  59928529 |  57865.6 |  237.9    5.6 |  0.6   1.5 |     127     165 |   40% |  Bronze   |
129434  58903823 |  57870.3 |    4.5   -0.5 |  0.9   2.4 |     114     155 |   38% |  Bronze   |
129506  21161807 |  57887.2 |  311.8   18.7 |  0.3   0.7 |      76     107 |   33% |  Bronze   |
129506  49650572 |  57887.3 |  226.7   30.3 |  0.2   0.5 |     140     175 |   56% |  Gold     |
129550  51402681 |  57900.1 |  179.9   26.3 |  0.3   0.8 |      94     123 |   42% |  Bronze   |
